,0
30918,2
30992,2
30993,2
31015,2
31029,2
31074,2
31086,2
31136,2
31149,2
31151,2
31165,2
31168,1
31198,2
31219,2
31288,2
31316,2
31317,2
31397,2
31416,2
31444,2
31451,2
31478,2
31483,2
31485,2
31489,2
31566,2
31576,2
31590,2
31611,2
31615,2
31652,2
31669,2
31712,2
31729,2
31733,2
31744,2
31752,2
31780,2
31786,2
31852,2
31893,2
31946,2
31959,2
32039,2
32080,2
32084,2
32094,2
32104,2
32108,2
32199,2
32220,2
32224,2
32228,2
32260,2
32268,2
32282,2
32287,2
32353,2
32395,2
32421,2
32423,2
32431,1
32447,2
32448,2
32454,2
32531,2
32546,2
32554,2
32632,2
32648,2
32697,2
32828,2
32831,2
32866,2
32922,2
32933,2
32976,1
32985,3
32993,2
33003,2
33019,1
33041,2
33052,1
33079,2
33118,2
33237,2
33262,2
33359,2
33361,2
33366,2
33414,2
33454,2
33469,2
33544,2
33597,2
33601,2
33615,2
33660,2
33732,3
33765,2
33773,2
33805,2
33848,2
33850,2
33885,2
33897,2
33968,2
34024,2
34061,2
34069,2
34070,2
34139,2
34167,3
34168,2
34196,2
34227,2
34258,2
34259,2
34262,2
34269,2
34276,2
34293,2
34345,2
34376,2
34392,2
34410,2
34485,2
34504,2
34524,2
34559,2
34577,2
34583,2
34588,1
34601,2
34627,2
34645,2
34711,2
34715,2
34839,2
34869,2
34882,2
34893,2
34896,2
34907,2
34926,2
34942,1
34970,2
35021,2
35031,2
35065,2
35081,2
35105,2
35149,2
35209,2
35256,2
35334,2
35351,2
35358,2
35392,2
35398,2
35435,2
35447,2
35519,2
35588,1
35776,2
35780,2
35807,2
35830,2
35834,2
35898,2
35917,2
35922,1
35961,2
35983,2
35993,2
35994,2
36076,2
36084,2
36092,2
36143,3
36153,2
36167,2
36168,1
36172,2
36238,2
36242,2
36254,2
36286,2
36295,2
36298,2
36301,2
36302,2
36324,2
36326,2
36349,2
36380,2
36382,2
36465,2
36505,2
36508,2
36541,2
36552,2
36586,2
36616,2
36647,1
36673,1
36697,2
36733,3
36764,2
36773,2
36799,2
36842,2
36861,2
36863,2
36867,2
36937,2
36965,2
37013,2
37040,2
37075,2
37112,2
37134,1
37156,2
37165,2
37172,2
37204,2
37225,2
37286,2
37289,2
37319,2
37326,2
37348,2
37381,3
37423,2
37433,2
37442,2
37452,2
37479,2
37485,2
37551,2
37575,1
37583,1
37586,2
37604,2
37669,2
37719,2
37740,1
37754,2
37771,2
37801,2
37807,2
37810,2
37831,2
37835,2
37860,2
37940,2
37971,2
38021,2
38078,2
38092,2
38158,2
38162,3
38171,2
38192,2
38208,2
38216,2
38252,3
38264,1
38286,2
38296,2
38332,2
38377,2
38399,2
38417,2
38474,2
38507,2
38532,2
38597,3
38612,1
38655,3
38662,2
38672,2
38682,2
38709,3
38744,2
38891,2
38910,2
38959,2
38966,2
39009,2
39015,2
39054,2
39058,2
39085,2
39094,2
39137,2
39295,2
39319,2
39326,2
39359,2
39370,2
39401,2
