,0
31397,3
31416,3
31444,3
31451,3
31478,2
31483,3
31485,3
31489,3
31566,3
31576,1
31590,1
31611,3
31615,3
31652,3
31669,3
31712,3
31729,3
31733,3
31744,3
31752,1
31780,3
31786,3
31852,3
31893,3
31946,3
31959,3
32039,3
32080,1
32084,3
32094,2
32104,1
32108,3
32199,3
32220,3
32224,3
32228,3
32260,1
32268,3
32282,3
32287,3
32353,3
32395,3
32421,3
32423,3
32431,2
32447,3
32448,3
32454,1
32531,3
32546,3
32554,3
32632,3
32648,3
32697,3
32828,3
32831,3
32866,3
32922,3
32933,3
32976,1
32985,3
32993,3
33003,1
33019,3
33041,1
33052,1
33079,3
33118,3
33237,3
33262,3
33359,3
33361,3
33366,3
33414,3
33454,3
33469,3
33544,3
33597,3
33601,3
33615,3
33660,3
33732,3
33765,3
33773,3
33805,3
33848,3
33850,2
33885,1
33897,3
33968,1
34024,3
34061,3
34069,3
34070,2
34139,3
34167,3
34168,3
34196,3
34227,3
34258,3
34259,3
34262,3
34269,3
34276,3
34293,3
34345,3
34376,3
34392,3
34410,3
34485,3
34504,3
34524,3
34559,3
34577,3
34583,3
34588,2
34601,3
34627,3
34645,3
34711,3
34715,3
34839,3
34869,3
34882,3
34893,3
34896,3
34907,3
34926,3
34942,2
34970,3
35021,3
35031,3
35065,3
35081,1
35105,3
35149,3
35209,3
35256,3
35334,3
35351,3
35358,3
35392,3
35398,3
35435,3
35447,3
35519,3
35588,2
35776,1
35780,3
35807,3
35830,3
35834,1
35898,3
35917,3
35922,1
35961,1
35983,3
35993,3
35994,3
36076,3
36084,3
36092,3
36143,3
36153,3
36167,3
36168,1
36172,3
36238,3
36242,3
36254,3
36286,3
36295,3
36298,2
36301,1
36302,3
36324,3
36326,3
36349,3
36380,3
36382,3
36465,3
36505,3
36508,3
36541,3
36552,3
36586,3
36616,1
36647,2
36673,2
36697,3
36733,3
36764,3
36773,3
36799,3
36842,3
36861,3
36863,2
36867,3
36937,3
36965,3
37013,3
37040,3
37075,3
37112,3
37134,1
37156,1
37165,3
37172,1
37204,3
37225,3
37286,3
37289,3
37319,3
37326,3
37348,3
37381,3
37423,3
37433,3
37442,3
37452,3
37479,1
37485,3
37551,1
37575,1
37583,1
37586,3
37604,3
37669,3
37719,3
37740,1
37754,3
37771,3
37801,3
37807,3
37810,3
37831,3
37835,3
37860,3
37940,3
37971,3
38021,3
38078,3
38092,3
38158,3
38162,3
38171,3
38192,3
38208,3
38216,1
38252,3
38264,3
38286,3
38296,3
38332,3
38377,3
38399,3
38417,3
38474,3
38507,3
38532,3
38597,1
38612,1
38655,3
38662,3
38672,3
38682,3
38709,3
38744,3
38891,3
38910,3
38959,3
38966,3
39009,3
39015,3
39054,3
39058,3
39085,3
39094,3
39137,3
39295,3
39319,3
39326,3
39359,3
39370,3
39401,3
39404,3
39417,3
39444,3
39448,3
39517,3
39577,1
39585,3
39646,1
39694,3
39716,3
39749,3
39758,3
39761,3
39764,3
39766,3
39771,2
39813,3
39819,3
39843,3
39865,3
39870,3
39875,3
39876,3
39903,3
39966,3
