,0
30099,1
30120,3
30262,1
30293,1
30331,1
30377,1
30379,1
30404,1
30421,3
30450,1
30451,1
30510,1
30511,1
30530,1
30539,1
30569,1
30598,1
30602,1
30618,1
30621,1
30630,1
30656,1
30667,1
30799,1
30833,1
30854,1
30942,1
30961,1
30968,1
30975,1
31053,1
31139,3
31223,1
31356,1
31365,1
31387,1
31445,1
31449,1
31462,1
31528,1
31537,1
31538,1
31548,1
31568,1
31583,1
31629,1
31641,1
31649,1
31731,1
31749,1
31808,1
31905,3
31950,1
31985,1
32082,1
32089,1
32116,1
32160,1
32169,1
32182,1
32189,1
32273,1
32278,1
32318,1
32346,1
32390,1
32392,1
32405,1
32419,1
32426,1
32570,1
32572,1
32599,1
32602,1
32624,3
32630,1
32632,1
32678,1
32689,1
32844,1
32871,1
32879,3
32892,1
32895,1
32945,1
32964,1
32975,1
32992,1
33009,1
33010,1
33064,1
33105,1
33158,1
33195,1
33197,1
33203,1
33219,1
33279,1
33388,1
33409,1
33424,1
33467,1
33519,1
33526,1
33573,1
33603,1
33687,1
33715,1
33765,1
33791,1
33817,1
33822,3
33831,1
33846,1
33893,3
33927,1
33931,1
33939,1
33984,1
34023,1
34024,3
34026,1
34040,1
34059,1
34078,1
34170,1
34181,1
34222,1
34234,1
34286,1
34391,1
34406,1
34420,1
34429,1
34452,1
34550,1
34605,1
34638,1
34914,1
34973,1
35055,1
35123,1
35174,1
35193,1
35198,3
35225,1
35234,1
35286,1
35296,1
35297,1
35317,3
35350,1
35394,1
35434,1
35469,1
35488,1
35494,1
35560,1
35565,1
35597,1
35613,1
35645,1
35703,1
35710,1
35724,1
35749,1
35895,1
35901,1
35961,1
35976,1
36035,1
36047,1
36082,1
36133,1
36142,1
36148,1
36157,3
36162,1
36182,1
36188,1
36196,1
36280,1
36289,1
36321,1
36415,1
36479,3
36492,1
36525,1
36577,1
36695,1
36715,1
36717,1
36742,1
36760,1
36794,1
36870,1
36913,1
36974,1
36985,1
36988,1
36995,1
37087,1
37099,3
37137,1
37159,1
37164,1
37173,1
37229,1
37250,1
37323,1
37337,1
37407,1
37434,3
37486,1
37555,1
37605,1
37639,1
37668,1
37749,1
37766,1
37778,1
37849,3
37896,1
37937,1
38012,1
38033,1
38036,1
38067,1
38102,1
38108,1
38127,1
38138,1
38150,1
38156,1
38174,1
38229,1
38241,1
38261,1
38297,3
38316,1
38349,1
38422,1
38468,1
38543,1
38544,1
38600,1
38610,1
38617,1
38626,1
38663,1
38698,1
38731,1
38768,1
38787,1
38823,1
38825,1
38844,1
38853,1
38882,1
38894,1
38921,1
38959,1
38994,1
39000,1
39052,1
39060,1
39089,1
39128,1
39180,1
39190,1
39203,1
39250,1
39252,1
39256,1
39258,2
39350,1
39372,1
39521,1
39522,3
39532,3
39551,1
39562,1
39573,1
39601,1
39614,1
39628,1
39653,1
39663,3
39696,1
39726,3
39738,1
39765,1
39784,1
39786,1
39798,1
39813,2
39822,1
39836,1
39861,1
39913,1
39917,1
40041,1
40044,3
40048,1
40063,3
40065,1
40066,2
40068,1
40073,1
40077,1
40108,1
40110,1
40157,1
40174,1
40193,1
40272,1
40288,1
40329,3
40340,1
40355,1
40378,1
40397,1
40404,1
40419,1
40431,1
40457,1
40494,1
40517,1
40519,1
40560,1
